Year,Month,Region,Model,Estimated_Deliveries,Production_Units,Avg_Price_USD,Battery_Capacity_kWh,Range_km,CO2_Saved_tons,Charging_Stations
2022,January,Europe,Cybertruck,7779,8724,98279,75,439,512.25,11377
2024,April,North America,Model S,7530,8178,108314,120,701,791.78,3253
2020,May,Europe,Model 3,7844,7845,81471,100,591,695.37,9867
2015,October,Asia,Model 3,12482,13992,96115,60,350,655.3,13190
2020,August,Asia,Model S,14744,15429,56006,120,665,1470.71,14078
2017,January,North America,Model Y,12064,13255,103628,82,485,877.66,10363
2018,October,Middle East,Model S,9655,10086,72428,60,334,483.72,12397
2016,February,Middle East,Model X,5427,6240,53375,82,491,399.7,7882
2019,February,Europe,Model Y,13438,14220,108070,75,417,840.55,14224
2020,February,Europe,Model 3,10803,12231,86063,60,353,572.02,9745
2020,April,North America,Model Y,11663,12383,59688,60,349,610.56,9296
2017,May,Asia,Model 3,7895,8081,71685,100,564,667.92,13456
2019,February,Asia,Model Y,6884,7892,76404,100,590,609.23,8214
2017,June,Europe,Model S,15361,15939,97322,100,585,1347.93,10320
2020,February,North America,Model S,12916,13310,111135,75,414,802.08,13663
2025,December,Asia,Model Y,14840,16581,71648,120,698,1553.75,13586
2023,May,Europe,Cybertruck,16651,16945,117078,60,332,829.22,5772
2017,October,Asia,Cybertruck,9752,10159,105881,60,339,495.89,6592
2020,December,Middle East,Model S,3677,3723,58349,82,460,253.71,9002
2018,July,Middle East,Model S,18271,18713,83022,82,473,1296.33,9843
2016,November,Europe,Model X,10075,11169,58439,100,595,899.19,3797
2019,August,Europe,Model 3,7614,7924,107117,120,682,778.91,4060
2020,May,Asia,Model X,2004,2223,111232,120,716,215.23,12661
2023,January,North America,Model X,14120,15873,76798,120,695,1472.01,11649
2024,October,Asia,Cybertruck,8169,8904,60938,82,472,578.37,5765
2022,November,Asia,Cybertruck,5997,6294,68886,75,431,387.71,8281
2016,March,Asia,Cybertruck,10500,11998,92113,82,484,762.3,13610
2017,June,Europe,Model Y,11562,12777,97608,120,684,1186.26,3184
2020,April,Europe,Model 3,7600,8624,112738,100,584,665.76,13307
2020,November,Asia,Model Y,1504,1572,62727,120,665,150.02,11569
2020,December,Middle East,Model X,13334,13717,54285,120,695,1390.07,14870
2022,December,Asia,Model Y,10567,11778,93355,100,561,889.21,3011
2016,October,Europe,Model S,16842,18849,52427,120,694,1753.25,14945
2017,March,Asia,Cybertruck,11703,13032,61317,60,344,603.87,11619
2019,May,Asia,Cybertruck,7613,8216,52406,60,349,398.54,3977
2023,March,Middle East,Model Y,10430,11441,88175,82,453,708.72,11946
2024,October,Asia,Model X,4300,4787,81594,75,448,288.96,6129
2019,August,Asia,Model S,14086,14453,75285,82,477,1007.85,3848
2023,February,Asia,Model Y,13384,14564,85098,120,712,1429.41,4008
2020,December,North America,Model Y,8596,9674,95555,100,580,747.85,7009
2021,October,North America,Model Y,15715,16991,72673,75,417,982.97,13650
2021,December,North America,Model X,7084,7179,91353,60,347,368.72,8025
2024,October,North America,Model S,11035,11367,105305,75,441,729.97,4351
2021,July,Middle East,Model S,11357,12845,73056,60,347,591.13,13167
2017,April,Middle East,Model 3,3096,3247,99883,75,443,205.73,5179
2021,August,Europe,Model X,9226,10565,102709,120,708,979.8,3393
2025,August,Asia,Cybertruck,14792,14834,57854,120,719,1595.32,6364
2024,October,Middle East,Model Y,9793,10014,82618,120,700,1028.26,12986
2017,May,Asia,Model S,11968,12960,77759,82,456,818.61,13383
2016,June,Asia,Model X,12651,12987,88152,75,449,852.04,14248
2015,May,Asia,Model 3,10733,11466,93409,120,676,1088.33,5257
2024,April,Asia,Model 3,5616,6095,78735,60,335,282.2,11941
2023,November,Middle East,Model Y,11111,11422,85715,82,472,786.66,13514
2024,October,North America,Model 3,5736,6520,63624,120,696,598.84,14827
2024,July,Asia,Model X,17392,19819,79984,60,339,884.38,14726
2017,November,Middle East,Model X,9250,9926,80099,75,434,602.17,14994
2024,April,Europe,Model X,9738,9893,74191,120,668,975.75,10632
2016,June,Europe,Model Y,5820,6203,92906,82,489,426.9,5888
2020,January,Asia,Model 3,12934,14720,117789,100,577,1119.44,8498
2023,July,Middle East,Model Y,8716,9361,53865,82,490,640.63,4542
2022,May,Asia,Model 3,3048,3163,101224,60,334,152.7,7216
2022,July,Europe,Model Y,5763,6322,82499,100,574,496.19,8132
2019,November,Asia,Model Y,20196,20348,54404,120,671,2032.73,3389
2025,June,Europe,Model S,14180,16298,85571,75,425,903.97,5230
2025,May,Asia,Model 3,3900,4093,87971,120,717,419.44,5472
2024,February,Asia,Model X,13035,14376,51251,60,336,656.96,3833
2016,November,Asia,Model Y,8999,9429,90754,82,466,629.03,10212
2018,October,Asia,Model Y,6961,7396,76381,100,593,619.18,13863
2021,March,North America,Model S,11207,12054,99614,60,337,566.51,6893
2015,February,Middle East,Model X,4718,5172,55890,100,558,394.9,13782
2019,January,Asia,Cybertruck,7929,8463,90433,82,474,563.75,6989
2023,February,North America,Model Y,7173,7344,64363,100,589,633.73,5006
2021,May,Europe,Model S,13913,15664,81372,120,698,1456.69,5654
2015,February,Middle East,Cybertruck,7142,7840,65699,60,351,376.03,5846
2020,October,North America,Model 3,5855,5998,106869,120,711,624.44,13972
2015,September,Europe,Cybertruck,12851,14451,77803,120,700,1349.35,5459
2023,March,Middle East,Model S,14484,15577,82535,100,599,1301.39,8922
2021,April,Middle East,Model Y,5163,5876,103023,75,439,339.98,11510
2024,May,Middle East,Model 3,8419,8521,51459,120,697,880.21,10556
2017,August,Asia,Cybertruck,12395,13414,54652,75,441,819.93,10004
2021,March,Asia,Model S,16317,17422,109971,60,358,876.22,7031
2017,May,Middle East,Cybertruck,4695,4999,118626,75,415,292.26,9224
2022,February,Europe,Cybertruck,15018,15865,115983,120,709,1597.16,10052
2020,April,Asia,Cybertruck,4118,4453,55092,100,589,363.83,5613
2018,September,Asia,Model X,14872,15681,111550,60,351,783.01,4351
2025,February,North America,Model 3,8589,8812,53809,75,437,563.01,13044
2018,April,North America,Model S,5799,6342,102295,60,336,292.27,3719
2015,August,Middle East,Cybertruck,9782,9801,96448,100,558,818.75,14532
2019,December,Middle East,Cybertruck,4442,4537,77260,82,490,326.49,6836
2020,May,North America,Model Y,8958,10212,74122,100,558,749.78,9757
2015,April,North America,Model 3,14129,14159,58125,120,662,1403.01,3488
2018,July,Europe,Cybertruck,4510,4736,101161,120,685,463.4,9940
2025,June,Europe,Model Y,6182,6357,114855,75,413,382.97,8550
2025,August,Europe,Model X,13341,15209,65409,120,710,1420.82,11279
2019,May,North America,Model Y,12927,14435,110083,100,592,1147.92,7316
2025,February,Europe,Model S,10702,10988,76330,100,573,919.84,8032
2021,April,North America,Model X,8093,8477,78011,75,418,507.43,9042
2025,May,North America,Model Y,12396,14163,93778,75,443,823.71,10842
2019,June,Asia,Model S,10409,11766,112358,100,572,893.09,8511
2015,March,Asia,Model Y,10327,10374,52614,75,443,686.23,7322
2022,March,Europe,Model S,15412,15482,59227,75,445,1028.75,12020
2017,February,Europe,Model S,815,908,79155,120,709,86.68,13204
2018,February,Asia,Model X,7081,8077,62683,60,348,369.63,5672
2021,May,Middle East,Model X,9058,10053,98011,82,485,658.97,5999
2025,October,North America,Cybertruck,9273,9297,52349,82,470,653.75,6578
2021,June,Asia,Model 3,6712,7512,62688,82,480,483.26,7619
2019,November,Middle East,Model Y,5021,5169,72317,82,475,357.75,5521
2025,December,Middle East,Model X,9319,10387,108790,100,564,788.39,14172
2024,January,Asia,Model 3,13920,14976,77905,82,455,950.04,8000
2018,March,Asia,Model 3,12088,13305,68945,82,454,823.19,14910
2025,April,Asia,Cybertruck,7653,8003,75205,120,685,786.35,4186
2020,August,Middle East,Model X,17066,18115,83740,82,453,1159.63,6337
2024,November,North America,Cybertruck,6773,7002,82801,75,428,434.83,6466
2019,July,Europe,Model S,3620,3891,113825,60,334,181.36,10751
2020,July,Asia,Model S,10661,12155,108447,60,355,567.7,6638
2023,April,Europe,Model Y,13656,14463,97396,75,430,880.81,14925
2022,October,Middle East,Model X,14060,14177,90177,60,355,748.69,8776
2020,September,Middle East,Model 3,8400,9527,118044,60,355,447.3,4320
2020,June,North America,Model X,15404,15772,117762,100,595,1374.81,5003
2025,January,Asia,Cybertruck,10494,11614,54090,60,346,544.64,4016
2019,November,North America,Model Y,8322,8387,109678,60,335,418.18,13492
2019,January,North America,Model Y,5590,6229,91420,75,419,351.33,11000
2020,May,Europe,Model Y,7949,8894,113403,100,598,713.03,5787
2016,August,Middle East,Model Y,17493,19586,77718,60,357,936.75,9396
2017,June,North America,Cybertruck,16693,18316,68718,120,660,1652.61,14580
2018,December,Europe,Model Y,14037,15053,65122,75,448,943.29,11581
2017,December,North America,Cybertruck,7076,7794,89605,60,357,378.92,7647
2016,October,Asia,Model 3,15259,15497,76916,120,689,1577.02,10826
2016,March,Asia,Model X,10421,11529,57481,120,694,1084.83,6078
2015,August,Europe,Model S,6575,6912,107488,60,333,328.42,13157
2021,September,Europe,Model Y,7002,7731,80908,120,716,752.01,4699
2022,January,Middle East,Model X,10130,11031,61493,60,333,505.99,14760
2019,November,Europe,Model S,6502,6982,55736,100,559,545.19,14325
2015,January,North America,Model X,8122,8343,62838,75,423,515.34,9297
2017,May,Middle East,Model 3,7856,8663,73272,120,663,781.28,7487
2023,October,Middle East,Cybertruck,5341,5892,119018,60,353,282.81,14303
2016,May,Middle East,Cybertruck,16246,17494,97616,75,414,1008.88,4017
2020,February,Asia,Model 3,16816,19209,68763,60,354,892.93,3664
2018,November,Europe,Model S,9505,10593,57608,60,359,511.84,7579
2016,February,Europe,Model S,8024,8225,61733,120,662,796.78,11836
2016,July,Middle East,Model 3,5320,5426,55642,100,586,467.63,8957
2016,February,Asia,Model 3,11385,11623,52098,75,424,724.09,11456
2017,November,Middle East,Model 3,11168,11952,82641,120,705,1181.02,4853
2022,July,Europe,Model X,11844,12021,75433,120,690,1225.85,3520
2016,January,North America,Cybertruck,5993,6503,98263,100,590,530.38,5401
2022,February,North America,Model S,856,966,115048,120,678,87.06,13367
2016,December,Middle East,Model 3,9780,10993,103517,60,347,509.05,14472
2020,June,Middle East,Model 3,9771,10380,118450,100,560,820.76,5584
2020,July,Asia,Model Y,9432,9920,93506,82,452,639.49,5241
2021,December,Middle East,Model S,9961,10021,58604,75,420,627.54,7823
2020,May,Middle East,Model Y,5615,5813,115275,120,711,598.84,11517
2021,March,Asia,Cybertruck,9755,10955,93018,82,485,709.68,8928
2021,January,Europe,Cybertruck,12075,12415,93736,75,425,769.78,5534
2016,January,Asia,Model S,8718,9994,73583,75,419,547.93,12476
2016,September,Asia,Model Y,8964,9897,85886,82,463,622.55,5551
2025,May,Middle East,Model X,9105,10082,103338,100,563,768.92,3542
2019,December,Asia,Model Y,1234,1256,109608,82,457,84.59,14697
2022,September,North America,Model S,14406,15616,67850,100,563,1216.59,3471
2016,April,Asia,Model S,5630,6468,114890,60,346,292.2,13104
2018,September,Asia,Model Y,14229,15099,112047,75,414,883.62,14536
2019,September,Asia,Model 3,6149,6221,73164,75,421,388.31,14856
2025,August,Middle East,Cybertruck,9888,10918,50567,120,697,1033.79,4124
2015,January,Middle East,Model S,13902,15423,94629,75,445,927.96,8666
2024,March,North America,Model Y,3180,3488,114220,120,700,333.9,12732
2018,January,North America,Model 3,17949,18875,101310,75,437,1176.56,14178
2025,September,Asia,Model Y,1662,1709,103129,75,415,103.46,9177
2019,February,North America,Model 3,11573,12572,58828,100,579,1005.12,12196
2024,April,Europe,Cybertruck,3297,3398,78193,75,415,205.24,11344
2023,November,Asia,Model 3,5019,5386,115880,100,561,422.35,7675
2016,July,North America,Model Y,8508,9638,91513,60,341,435.18,7951
2021,June,Asia,Model X,15411,17636,58866,120,685,1583.48,8771
2015,October,North America,Model X,12070,12219,92221,82,461,834.64,7671
2019,February,Europe,Model S,14215,15529,52823,82,464,989.36,8622
2021,June,Europe,Model X,12017,13245,54448,82,467,841.79,14565
2019,December,Asia,Cybertruck,10012,11485,56816,100,565,848.52,10658
2025,August,Middle East,Model S,8857,10153,62777,120,681,904.74,12034
2025,December,North America,Model Y,7865,8635,58491,100,558,658.3,5966
2019,September,North America,Model 3,7842,8082,93876,75,425,499.93,14947
2015,October,Europe,Model X,9615,10665,84684,82,479,690.84,8217
2017,July,Middle East,Cybertruck,18353,20285,62019,60,345,949.77,7943
2020,March,Asia,Model 3,5487,6060,89208,60,341,280.66,8042
2019,November,Middle East,Model S,13795,14310,76062,120,675,1396.74,8867
2021,September,Middle East,Model Y,9048,9299,95618,75,439,595.81,11256
2017,July,Asia,Cybertruck,12222,12642,58229,82,457,837.82,3023
2021,December,Europe,Cybertruck,15357,17137,73728,60,334,769.39,13294
2019,February,Asia,Cybertruck,9198,10505,65314,60,339,467.72,12074
2018,November,Asia,Cybertruck,4416,4672,55641,60,334,221.24,6575
2016,July,Asia,Model 3,12523,13718,104996,120,667,1252.93,7918
2022,December,Europe,Model Y,8901,9137,51996,75,446,595.48,3098
2022,May,Europe,Model X,9529,10402,107421,100,570,814.73,5658
2017,June,Asia,Model Y,13304,14480,92930,120,698,1392.93,5904
2018,January,Europe,Model 3,6192,6352,89758,82,463,430.03,14259
2018,June,Europe,Model 3,7300,7781,95077,120,682,746.79,3654
2017,November,Europe,Model X,8800,9446,95132,100,561,740.52,9631
2024,February,Europe,Model S,12899,13977,90373,100,558,1079.65,7832
2015,July,Middle East,Model 3,10346,11237,108928,60,334,518.33,12543
2017,August,Europe,Model Y,9828,9926,111415,60,341,502.7,9501
2016,May,Asia,Cybertruck,9308,9832,77613,100,572,798.63,12420
2022,September,Europe,Cybertruck,10568,11116,62083,100,550,871.86,8410
2023,May,Europe,Model X,13362,14234,78133,120,694,1390.98,10000
2019,August,Europe,Cybertruck,13326,15182,84772,82,485,969.47,8350
2022,February,Asia,Model 3,7392,7575,118440,120,666,738.46,14183
2023,April,Asia,Model 3,15354,16517,86768,100,598,1377.25,13937
2017,December,Asia,Model S,13504,15509,71832,82,464,939.88,3947
2019,April,Middle East,Cybertruck,9166,9644,93416,82,473,650.33,4507
2022,June,Asia,Model 3,12159,12521,85588,100,557,1015.88,11051
2021,September,Europe,Cybertruck,11351,12445,76739,75,448,762.79,6959
2025,April,North America,Model Y,12062,13191,66633,120,690,1248.42,14114
2019,August,Asia,Model X,8889,9950,91679,60,356,474.67,7931
2016,December,Europe,Model S,10571,11269,71163,82,461,730.98,5335
2020,February,North America,Model Y,8304,8784,114079,60,352,438.45,9061
2021,April,Middle East,Model X,12967,13501,52296,120,685,1332.36,13741
2025,November,Asia,Model S,9181,9523,66418,120,671,924.07,9897
2023,July,Middle East,Cybertruck,4551,5027,85436,100,551,376.14,14096
2019,August,North America,Cybertruck,13167,15140,64800,100,563,1111.95,10954
2021,June,Europe,Model 3,8537,9533,92600,120,718,919.43,7483
2016,May,Middle East,Model Y,15206,15358,86289,120,669,1525.92,11849
2021,September,Middle East,Model S,13107,14700,59453,60,344,676.32,14262
2024,March,Middle East,Model S,11386,12208,78046,82,491,838.58,12853
2020,December,North America,Model X,935,1063,75781,60,341,47.83,7602
2020,September,Middle East,Model Y,10233,10752,83140,75,435,667.7,13425
2024,April,North America,Model X,13755,14856,65279,75,418,862.44,5841
2018,May,Middle East,Model 3,11601,11864,83419,120,696,1211.14,9980
2019,June,Europe,Model X,13504,15384,94876,82,463,937.85,9303
2016,February,Asia,Cybertruck,10601,11391,93249,100,593,942.96,9847
2022,November,Middle East,Model 3,8164,9072,102969,60,350,428.61,5808
2018,August,Europe,Model S,15247,15861,63905,120,674,1541.47,6676
2015,June,North America,Model 3,12491,12919,97019,60,348,652.03,7297
2022,February,Middle East,Model Y,15256,16088,108329,60,343,784.92,11634
2015,June,Europe,Model X,12870,14534,116466,120,668,1289.57,14119
2024,December,Middle East,Cybertruck,12805,13581,97485,75,441,847.05,14903
2025,December,Europe,Model Y,5817,6426,81937,100,576,502.59,4756
2024,March,North America,Cybertruck,8819,10002,100057,100,581,768.58,10965
2023,December,Europe,Model X,6937,7210,67172,100,598,622.25,3098
2020,September,North America,Model X,18338,20455,57277,60,358,984.75,13682
2022,June,Europe,Model 3,2499,2699,111362,82,488,182.93,6191
2022,December,Asia,Model X,6375,7256,59854,82,460,439.87,9697
2023,July,Asia,Model Y,15153,15547,73861,82,467,1061.47,7184
2023,March,North America,Model S,9070,9500,97403,100,574,780.93,14739
2022,April,North America,Cybertruck,7487,8565,107432,120,711,798.49,5066
2017,December,Asia,Model X,12561,12677,56465,75,418,787.57,10142
2015,April,Asia,Model X,15110,15882,115153,100,592,1341.77,8147
2023,May,Europe,Model Y,10263,10424,110080,60,339,521.87,14655
2025,August,North America,Model S,15156,15346,61250,82,481,1093.51,8176
2017,January,North America,Model 3,4481,4486,119847,60,350,235.25,12941
2022,September,Middle East,Model X,4364,4537,98157,60,353,231.07,6681
2021,August,North America,Model Y,12327,12708,80886,82,453,837.62,12903
2025,November,Europe,Model S,11138,11508,65395,82,489,816.97,14449
2019,November,Asia,Model 3,9433,9586,111315,100,589,833.41,5017
2023,December,Middle East,Model Y,5348,5655,111013,100,568,455.65,14419
2021,November,North America,Model S,14807,14852,92314,82,462,1026.13,13348
